Index,ID
1,16
2,32834
3,71
4,77
5,98
6,107
7,134
8,8358
9,243
10,8452
11,318
12,327
13,392
14,8584
15,24977
16,462
17,479
18,16888
19,49721
20,25166
21,33379
22,641
23,8843
24,8859
25,8871
26,8870
27,711
28,786
29,889
30,25520
31,955
32,9285
33,9383
34,33994
35,140511
36,75031
37,17711
38,9519
39,9532
40,1359
41,9600
42,9678
43,9679
44,1493
45,17908
46,9741
47,1588
48,1597
49,1619
50,1636
51,18041
52,894588
53,1831
54,1900
55,1907
56,18292
57,51107
58,2024
59,51179
60,2046
61,2067
62,2069
63,2085
64,2089
65,2123
66,2133
67,2155
68,51333
69,10383
70,10384
71,10385
72,10393
73,10394
74,10461
75,10468
76,10471
77,10479
78,10481
79,10501
80,26916
81,2360
82,10558
83,10559
84,10560
85,10562
86,10564
87,10577
88,10571
89,10637
90,10647
91,10687
92,10688
93,10763
94,2621
95,2655
96,10862
97,10876
98,10873
99,19094
100,2787
101,125760
102,568173
103,904112
104,19419
105,27723
106,11398
107,756895
108,36047
109,11478
110,11531
111,44412
112,11678
113,11688
114,3536
115,511498
116,52790
117,11849
118,20067
119,11973
120,11978
121,36657
122,12107
123,44895
124,3981
125,896920
126,10567
127,12211
128,12212
129,20438
130,94214
131,77908
132,4234
133,4244
134,4247
135,20697
136,12509
137,4327
138,20770
139,29076
140,21056
141,21311
142,37722
143,4958
144,4967
145,21378
146,29572
147,5001
148,46119
149,13526
150,13539
151,29946
152,161080
153,5491
154,5551
155,22230
156,14181
157,5994
158,14273
159,292890
160,292898
161,22597
162,22617
163,6282
164,243882
165,6521
166,14736
167,55888
168,47816
169,23618
170,7290
171,15489
172,7443
173,7450
174,15655
175,24100
176,15940
177,16110
178,32567
179,16222
180,16340
181,120
182,141
183,161
184,167
185,8386
186,73981
187,16651
188,8489
189,331
190,16723
191,24936
192,24940
193,33152
194,441
195,453
196,467
197,585
198,25208
199,634
200,8835
201,644
202,671
203,676
204,8922
205,768
206,33557
207,808
208,17203
209,824
210,853
211,855
212,869
213,50035
214,25462
215,9081
216,1018
217,25641
218,9290
219,9378
220,9397
221,9398
222,9428
223,9476
224,17708
225,9517
226,1365
227,75151
228,26056
229,9705
230,1535
231,9740
232,1548
233,58904
234,9778
235,353849
236,9799
237,1613
238,9816
239,18017
240,75386
241,9880
242,9889
243,9896
244,1722
245,1734
246,59095
247,34549
248,18168
249,9989
250,10016
251,10054
252,1903
253,1921
254,1933
255,1999
256,1995
257,2018
258,26602
259,2034
260,2043
261,2057
262,2100
263,2114
264,2140
265,2144
266,2171
267,2176
268,26791
269,10477
270,2294
271,10491
272,35080
273,18734
274,13496
275,10596
276,18828
277,10646
278,10691
279,10696
280,2575
281,10796
282,10808
283,10833
284,281193
285,10866
286,19058
287,10865
288,10877
289,10878
290,19076
291,43664
292,2749
293,10950
294,10956
295,2770
296,10972
297,10984
298,10992
299,11065
300,11086
301,11088
302,11091
303,11090
304,19405
305,11232
306,11313
307,3172
308,11370
309,11371
310,11380
311,11397
312,11456
313,11467
314,11469
315,11470
316,896236
317,896246
318,60828
319,11889
320,183954
321,28311
322,12103
323,20309
324,12138
325,12149
326,4012
327,12312
328,4133
329,4248
330,12508
331,12589
332,20794
333,12610
334,12658
335,12660
336,20857
337,45864
338,4965
339,13166
340,37857
341,37920
342,5175
343,13408
344,5279
345,54491
346,62956
347,153141
348,136767
349,30379
350,292550
351,14033
352,14034
353,5852
354,38717
355,5955
356,6073
357,46943
358,120694
359,14369
360,6440
361,31016
362,47574
363,15104
364,31668
365,39939
366,23685
367,7501
368,15720
369,15745
370,56715
371,23949
372,24113
373,319065
374,16161
375,8007
376,16300
377,8198
378,65
379,121
380,8346
381,170
382,180
383,201
384,8427
385,245
386,16643
387,8470
388,16690
389,320
390,423
391,425
392,25006
393,437
394,455
395,8665
396,557
397,565
398,590
399,608
400,640
401,17043
402,672
403,8869
404,49872
405,17130
406,34341
407,17187
408,818
409,9012
410,9016
411,9021
412,9023
413,9034
414,9039
415,25461
416,9093
417,33693
418,9266
419,9275
420,9280
421,9296
422,9298
423,9334
424,9357
425,25853
426,9488
427,34081
428,17710
429,9533
430,9544
431,1360
432,9557
433,9573
434,17774
435,9583
436,1429
437,1430
438,9637
439,9645
440,9685
441,1537
442,1576
443,1574
444,18072
445,9884
446,9932
447,9962
448,1809
449,18221
450,10052
451,1894
452,18323
453,10133
454,1957
455,18357
456,10167
457,2022
458,10229
459,59387
460,2103
461,2135
462,2165
463,10375
464,2185
465,10426
466,2251
467,92384
468,10550
469,10590
470,10592
471,10605
472,10611
473,2501
474,10771
475,2637
476,2642
477,2675
478,27259
479,10918
480,2752
481,2755
482,2757
483,51927
484,10985
485,10996
486,11013
487,11022
488,11056
489,3131
490,3132
491,11362
492,11442
493,11452
494,11458
495,11468
496,11529
497,11535
498,11547
499,11544
500,11560
501,11692
502,19973
503,11812
504,20009
505,11852
506,11870
507,11880
508,11888
509,11892
510,11979
511,36586
512,36669
513,12100
514,20337
515,61340
516,12277
517,200709
518,4107
519,4108
520,4147
521,20616
522,20689
523,12576
524,12590
525,29047
526,4547
527,12770
528,12771
529,12779
530,184835
531,4614
532,21118
533,78528
534,13098
535,4911
536,4912
537,54119
538,13369
539,13376
540,37964
541,13435
542,13441
543,13439
544,251053
545,13497
546,13536
547,30072
548,21925
549,13768
550,13908
551,30309
552,13950
553,5851
554,14112
555,6020
556,14365
557,6278
558,22707
559,14293
560,31005
561,14635
562,14672
563,39541
564,15028
565,15070
566,15074
567,31477
568,15155
569,15186
570,7090
571,7299
572,7303
573,220361
574,7451
575,15647
576,81229
577,23986
578,15992
579,16028
580,57022
581,8051
582,8094
583,12
584,20
585,22
586,24
587,83
588,122
589,153
590,237
591,327954
592,277
593,296
594,302
595,310
596,321
597,322
598,470
599,504
600,508
601,553
602,33339
603,584
604,587
605,604
606,605
607,616
608,883
609,1088
610,1278
611,1415
612,1428
613,1435
614,1584
615,1647
616,1792
617,1807
618,1817
619,1927
620,1996
621,2055
622,2056
623,2116
624,2260
625,2289
626,2662
627,2771
628,2832
629,3097
630,3515
631,3635
632,36658
633,4256
634,4464
635,4592
636,4612
637,4970
638,4997
639,5146
640,5653
641,6038
642,38868
643,38901
644,6171
645,6466
646,6964
647,7270
648,7288
649,73571
650,8046
651,8273
652,8326
653,8409
654,8619
655,8696
656,8698
657,8961
658,41884
659,9257
660,9341
661,9358
662,9373
663,9471
664,9480
665,9486
666,9499
667,9506
668,9562
669,9567
670,9582
671,9616
672,9620
673,9654
674,9776
675,9902
676,42671
677,9919
678,75462
679,10009
680,10028
681,10105
682,10147
683,10152
684,10159
685,10327
686,10330
687,10544
688,10588
689,10601
690,10623
691,10629
692,10632
693,10678
694,10708
695,10715
696,10719
697,10720
698,10735
699,10743
700,10744
701,10756
702,10782
703,10894
704,10923
705,10922
706,10929
707,10934
708,43708
709,10944
710,174831
711,11007
712,11019
713,11059
714,11078
715,11093
716,11194
717,11329
718,11351
719,11375
720,44181
721,11420
722,273566
723,11427
724,11523
725,11615
726,11635
727,11775
728,11817
729,12090
730,12146
731,12253
732,45040
733,12279
734,12767
735,570041
736,45862
737,13132
738,13370
739,13411
740,13433
741,13537
742,13573
743,13691
744,13819
745,13920
746,14411
747,47277
748,14527
749,112961
750,14873
751,47660
752,14926
753,15394
754,15443
755,15603
756,15755
757,16072
758,48891
759,16941
760,49890
761,17345
762,17473
763,410928
764,50496
765,17813
766,313508
767,18736
768,18927
769,19153
770,19277
771,20032
772,20210
773,20694
774,21052
775,21059
776,21525
777,21542
778,54973
779,22309
780,1170077
781,23626
782,56427
783,23995
784,24621
785,24982
786,25007
787,25428
788,287974
789,59210
790,27090
791,60013
792,28200
793,1110727
794,95140
795,30141
796,30246
797,30806
798,30973
799,31068
800,31246
801,32316
802,27
803,38
804,70
805,80
806,163
807,176
808,205
809,327955
810,291
811,314
812,393
813,395
814,401
815,421
816,435
817,558
818,594
819,615
820,652
821,673
822,693
823,747
824,809
825,842
826,866
827,924
828,1392
829,1487
830,1538
831,1577
832,1586
833,1677
834,1777
835,1824
836,1843
837,34672
838,1944
839,1954
840,1966
841,1970
842,1997
843,2023
844,2048
845,2059
846,2122
847,2288
848,2502
849,2539
850,2567
851,2789
852,3098
853,3099
854,167177
855,36648
856,3989
857,36984
858,4380
859,4553
860,4599
861,4836
862,37641
863,5137
864,5255
865,5516
866,5966
867,71547
868,169870
869,235708
870,6478
871,6947
872,7131
873,7220
874,7548
875,8080
876,8193
877,40990
878,106546
879,8357
880,8699
881,8842
882,8849
883,8920
884,8981
885,9352
886,9372
887,9384
888,9472
889,9477
890,9509
891,9528
892,9541
893,9675
894,9688
895,9692
896,9759
897,9801
898,9806
899,9833
900,9890
901,9893
902,9953
903,10096
904,10145
905,10204
906,10296
907,10555
908,10589
909,10591
910,10625
911,76195
912,10677
913,10718
914,10733
915,10742
916,10762
917,273045
918,43670
919,11024
920,11025
921,11026
922,11036
923,11045
924,11052
925,11058
926,11081
927,11099
928,11109
929,11128
930,11130
931,11132
932,11141
933,11169
934,11184
935,11208
936,11217
937,11247
938,11249
939,11282
940,11358
941,11430
942,11588
943,11632
944,11774
945,11823
946,44593
947,11836
948,11866
949,44634
950,12109
951,12153
952,12281
953,12532
954,12634
955,12653
956,12657
957,897439
958,12703
959,78516
960,13073
961,13193
962,13373
963,13416
964,13443
965,13476
966,13572
967,13700
968,13702
969,14024
970,14172
971,210864
972,14287
973,14292
974,14337
975,14442
976,14462
977,14614
978,14623
979,14844
980,14846
981,15045
982,15089
983,15237
984,15566
985,15644
986,15673
987,48463
988,15708
989,15775
990,48732
991,48870
992,16131
993,16232
994,16427
995,16428
996,16605
997,16617
998,16635
999,16784
1000,17047
